source,target
天罚神雷·镰形长刀,神罰の雷刃・月鎌刀
近距离武器，镰形长刀主打一刀居合，瞬间斩敌，镰刀则追求多段连打，舞动刀光，交替运用，展现独特战技。,近接武器。刀は一刀居合で敵を瞬時に斬り伏せ、鎌は多段ヒットで刀光を舞わせる。交互に使いこなし、独自の戦闘技術を見せつけよう。
冰之玉响·魔杖,氷の玉響・魔杖
"中远距离武器, 以水元素为媒介，寒冰与流水之力并存，极寒之下冻结一切并造成强大的伤害。",中遠距離武器。水属性を媒介とし、氷と流水の力が共存している。極寒の下、すべてを凍結させ、強大なダメージを与える。
涤罪恶火·战斧,パガトリーフレイム・戦斧
近距离武器，给与战者永不屈服的斗志，终极技能更可以进入强化境界，短暂之间迸发出惊人的能量，毁天灭地，同时带有令人生畏的气息。,近距離武器。戦士に不屈の闘志を与える。究極スキルはさらに強化状態に入り、短時間、驚異的なエネルギーを放出して圧倒的な破壊力を発揮し、同時に相手に恐怖を抱かせるようなオーラをまとう。
正义之风·长枪,正義の風・穿雲槍
近距离武器，枪出如龙，攻击积聚战意，环绕出一道坚不可摧的护盾，为战者提供坚固的防御，随着力量积聚至巅峰，战者可将矛投得更远，释放出溃败性的一击，如夜空中流星划破长空。,近距離武器。竜のごとく槍を突き出し、攻撃で戦意を集め、頑丈なバリアをまとい、戦士に堅固な防御を付与する。力が頂点に達すると、槍をより遠くへ投げ、夜空を切り裂く流星のような壊滅的な一撃を放つことができる。
命理之森·法环,命理の森・仙輪
中距离武器，操控自然的能力，擅长使用藤蔓以及花种攻击敌方，拥有不俗的治疗能力，犹如大自然的守护者，既能摧毁敌人，又能守护盟友。,中距離武器。自然を操る能力を持ち、蔓や花の種で敵を攻撃することを得意とする。優れた回復能力を持ち、まるで大自然の守護者のように、敵を滅ぼし、味方を守ることができる。
雷霆一闪·手炮,サンダーフラッシュ・ハンドキャノン
"远距离武器，强力输出手，极大的技能范围以及连续的驻场输出，及其擅长应付复数的敌人。以雷霆之怒, 激昂的清扫眼前的障碍。",遠距離武器。強力なアタッカーで、極めて広範囲のスキルと継続的なフィールド火力を持ち、複数の敵に対応するのに適している。雷鳴の怒りで目の前の障害を激しく一掃する。
砂岩守御·卫刃,砂岩の守壁・重戦刃
近距离武器，伤害不俗的防御专家。剑势凌人，锐不可当。其宽阔的剑身不仅能带来坚如磐石的安定感，聚集岩沙之力还能释放惊人的破坏力。,近距離武器。ダメージもそこそこ出せる防御タイプ。剣の勢いは鋭く、誰にも止められない。その幅広の剣身は盤石の安定感をもたらすだけでなく、岩や砂の力を集めれば驚異的な破壊力を発揮する。
（临时）罗罗拉,（仮）ロローラ
（临时）这是一把镰形长刀的描述，故事，暂时没有文本。,（仮）これは月鎌刀の説明テキスト。ストーリーテキストはまだありません。
弓,ボウ
"远距离武器，强力输出手，极大的技能范围以及连续的驻场输出，及其擅长应付复数的敌人。以雷霆之怒,击打眼前的一切。",遠距離武器。強力なアタッカーで、極めて広範囲のスキルと継続的なフィールド火力を持ち、複数の敵に対応するのに適している。雷鳴の怒りで目の前のすべてを打ち砕く。
见习冒险者太刀镰（物理）,見習い冒険者のブレードサイス（物理）
雷影剑士职业里比较精良的武器。,ストームブレイドでは比較的上質な武器。
见习冒险者冰魔杖（魔法）,見習い冒険者の氷の魔杖（魔法）
冰魔导师职业比较精良的武器。,フロストメイジでは比較的上質な武器。
涤罪恶火（物理）,パガトリーフレイム（物理）
涤罪恶火·战斧职业比较精良的武器。,パガトリーフレイム・戦斧クラスでは比較的上質な武器。
见习冒险者长枪（物理）,見習い冒険者のスピア（物理）
青岚骑士职业比较精良的武器。,ゲイルランサーでは比較的上質な武器。
见习冒险者法环（魔法）,見習い冒険者の仙輪（魔法）
森语者职业比较精良的武器。,ヴァーダントオラクルでは比較的上質な武器。
雷霆一闪（物理）,サンダーフラッシュ（物理）
雷霆一闪·手炮职业比较精良的武器。,サンダーフラッシュ・ハンドキャノンクラスでは比較的上質な武器。
见习冒险者卫刃（物理）,見習い冒険者の重戦刃（物理）
巨刃守护者职业比较精良的武器。,ヘヴィガーディアンクラスの比較的上質な武器。
暗灵祈舞（物理）,ソウルダンス（物理）
暗灵祈舞·仪刀职业比较精良的武器。,ソウルダンス・儀刀クラスでは比較的上質な武器。
见习冒险者长弓（物理）,見習い冒険者の弓（物理）
神射手职业比较精良的武器。,ディバインアーチャーでは比較的上質な武器。
见习冒险者剑盾（物理）,見習い冒険者の剣盾（物理）
神盾骑士职业比较精良的武器。,シールドファイターの比較的上質な武器。
见习冒险者电吉他（魔法）,見習い冒険者のエレキギター（魔法）
灵魂乐手职业比较精良的武器。,ビートパフォーマークラスの比較的上質な武器。
露西空手,ルーシィ素手
露西职业比较精良的武器。,ルーシィクラスの比較的上質な武器。
纳兹空手,ナツ素手
纳兹比较精良的武器。,ナツの比較的上質な武器。
小专武测试,小さな専用武器テスト
大专武测试,大きな専用武器テスト
精制太刀镰（物理）,上級ブレードサイス（物理）
雷影剑士职业少有的好武器。,ストームブレイドでは珍しい優れた武器。
精制冰魔杖（魔法）,上級氷の魔杖（魔法）
冰魔导师职业少有的好武器。,フロストメイジでは珍しい優れた武器。
精制长枪（物理）,上級スピア（物理）
青岚骑士职业少有的好武器。,ゲイルランサーでは珍しい優れた武器。
精制法环（魔法）,上級仙輪（魔法）
森语者职业少有的好武器。,ヴァーダントオラクルでは珍しい優れた武器。
精制卫刃（物理）,上級重戦刃（物理）
巨刃守护者职业少有的好武器。,ヘヴィガーディアンクラスの珍しい優れた武器。
精制长弓（物理）,上級弓（物理）
神射手职业少有的好武器。,ディバインアーチャーでは珍しい優れた武器。
精制剑盾（物理）,上級剣盾（物理）
神盾骑士职业少有的好武器。,シールドファイターの珍しい優れた武器。
精制电吉他（魔法）,精巧なエレキギター（魔法）
