source,target
100% Yorozuya,100%万事屋
+100 Points,100pt追加
Lv.120 Gear Progression Pack,120装備育成パック
Lv.140 Raid Set Pack,140チームダンジョンセットパック
Lv.140 Gear Progression Pack,140装備育成パック
147 Factor Pack Preview,147因子パックプレビュー
150 Set Material Pack,150セット素材パック
Lv.160 Raid Set Pack,160チームダンジョンセットパック
Lv.160 Gear Progression Pack,160装備育成パック
The Sixteenth Star,16番目の星
170 Set Material Pack,170セット素材パック
First Child,1人目の子ども
A Coin,1枚のコイン
A whole box (?) Note,1箱（？）のメモ
"Oct. 2025 Collection Card (currently unused, reserved for Monthly Card compensation)",2025年10月コレクションカード（当面無用。月パスアイテム配布用のアイテムとして残しておく）
Sep 2025 Collection Card,2025年11月コレクションカード
"Nov. 2025 Collection Card (currently unused, reserved for Monthly Card compensation)",2025年11月コレクションカード（当面無用。月パスアイテム配布用のアイテムとして残しておく）
Oct 2025 Collection Card,2025年12月コレクションカード
"Mar. 2025 Collection Card (currently unused, reserved for Monthly Card compensation)",2025年3月コレクションカード（当面無用。月パスアイテム配布用のアイテムとして残しておく）
"Apr. 2025 Collection Card (currently unused, reserved for Monthly Card compensation)",2025年4月コレクションカード（当面無用。月パスアイテム配布用のアイテムとして残しておく）
"May. 2025 Collection Card (currently unused, reserved for Monthly Card compensation)",2025年5月コレクションカード（当面無用。月パスアイテム配布用のアイテムとして残しておく）
"Jun. 2025 Collection Card (currently unused, reserved for Monthly Card compensation)",2025年6月コレクションカード（当面無用。月パスアイテム配布用のアイテムとして残しておく）
"Jul. 2025 Collection Card (currently unused, reserved for Monthly Card compensation)",2025年7月コレクションカード（当面無用。月パスアイテム配布用のアイテムとして残しておく）
"Aug. 2025 Collection Card (currently unused, reserved for Monthly Card compensation)",2025年8月コレクションカード（当面無用。月パスアイテム配布用のアイテムとして残しておく）
"Sep. 2025 Collection Card (currently unused, reserved for Monthly Card compensation)",2025年9月コレクションカード（当面無用。月パスアイテム配布用のアイテムとして残しておく）
Aug. 2026 Collection Card,2026年10月コレクションカード
Sep. 2026 Collection Card,2026年11月コレクションカード
Oct. 2026 Collection Card,2026年12月コレクションカード
Nov 2025 Collection Card,2026年1月コレクションカード
Dec. 2025 Collection Card,2026年2月コレクションカード
Jan. 2026 Collection Card,2026年3月コレクションカード
Feb. 2026 Collection Card,2026年4月コレクションカード
