source,target
雷影剑士,ストームブレイド
我流刀法·诛恶,刃影
"刀意
每秒积攒2点刀意，当刀意积攒足量时特殊攻击获得增强：消耗100点刀意使其施放速度大幅加快。

普通攻击·恶即斩
以长刀形态进行至多四段攻击，每段造成物理伤害。

攻略：注意在刀意满时及时施放特殊攻击。","刀意 / 毎秒2の刀意を蓄積する。十分に溜まると特殊攻撃が強化される：刀意を100消費して発動速度を大幅に上げる。

通常攻撃・悪即斬 / 長刀形態で最大4段の薙ぎ払いを行い、各段で物理ダメージを与える。

コツ：刀意が満タンになったら速やかに特殊攻撃を撃ってダメージを最大化する。"
超高出力,彼岸
"解放太刀能量，每次攻击均会解开镰刀的形态，每次攻击都可造成更高的物理伤害，并可直接获得1个雷之印。
技能可以充能5层。

攻略：注意在雷之印不溢出的情况下，常态保持这个技能至少有1层在进行充能。","太刀の力を解放して鎌形態へ変化させ、各攻撃で増加した物理ダメージを与え、雷印を1得る。
このスキルは5チャージ持つ。

コツ：雷印を溢れさせず、常に少なくとも1チャージはチャージ中にしておく。"
极诣·大破灭连斩,奥義・破刃連斬
"极致的刀法将空气也能斩断，向面前区域持续斩击，对区域内的敌人造成物理伤害，并在招式结束后获得雷之印至上限，并回满刀意值。
「苍天之兵，使诸天繁星皆黯」

攻略：尽量在雷之印为空时施放，快速获得雷之印进入爆发。或在目标数量较多时使用，打出巨量范围伤害","空気すら断つほどの至高の刀技。前方へ連斬を放ち、範囲内の全ての敵に物理ダメージを与える。技の終わりに雷印を最大まで得て、刀意を完全回復する。
「蒼天の兵、諸天の星々をも黯ませる。」

コツ：雷印が空のときに撃つと素早くチャージできる。複数対象にも有効で、大量の範囲ダメージを与えられる。"
居合斩,雷刃抜刀
"蓄力后对前方进行一次迅猛的斩击，消耗当前拥有的所有雷之印造成物理伤害，每消耗1个雷之印可使伤害增加25%。
「所见，所听，所闻，皆可斩」

攻略：尽量在雷之印达上限时施放，最大化伤害。","チャージ後、前方へ迅速な斬撃を放ち、所持する全ての雷印を消費して物理ダメージを与える。雷印1消費ごとにダメージ+25%。

「見る、聞く、感じる、その全てを斬れる。」

コツ：雷印が上限のときに撃ってダメージを最大化する。"
月影,月影殺
"消耗3枚雷之印向前方冲刺并旋转刀刃对周围的敌人造成物理伤害。场上月刃同时进行一次回旋攻击对周围目标造成物理伤害，该伤害跟随镰车技能升级和进阶进行成长。
「月光之下，吾如影随形」

攻略：尽可能在月刃存在数量多的时候进行施放，触发更多的回旋攻击。","雷印を3消費して前方へ突進し、刃を回転させて周囲の敵に物理ダメージを与える。場の月刃も同時に回旋攻撃を行い、周囲の対象に物理ダメージを与える（旋廻鎌のレベル/段階に応じて成長）。
「月光の下、我は影の如く付き従う。」

コツ：月刃が多く存在するときに撃ち、できるだけ多くの回旋攻撃を誘発する。"
"使用后解放镰刀能量，强化接下来的3次普通攻击，每次强化普通攻击都可造成更高的物理伤害，并可直接获得1枚雷之印。
技能可以充能3层。

攻略：每次固定获得3个雷之印，注意在雷之印不溢出的情况下，常态保持这个技能至少有1层在进行充能。","鎌の力を解放し、次の通常攻撃3回を強化する。強化された各攻撃はより高い物理ダメージを与え、雷印を1得る。
このスキルは3チャージ持つ。

コツ：1回で雷印を3得る。雷印を溢れさせず、安定した再チャージのため常に1チャージはチャージ中にしておく。"
一闪,一閃
"消耗当前拥有的所有雷之印，蓄力后向前方冲出，并斩击沿途所有敌人，造成物理伤害，每消耗1个雷之印可使伤害增加25%。
「电光之间，刃已出鞘」

攻略：搭配居合斩流派的核心技能，施放优先级高于居合斩，尽量在雷之印达上限时施放，最大化伤害。","所持する全ての雷印を消費し、チャージ後に前方へ突進して経路上の全ての敵を斬り、物理ダメージを与える。雷印1消費ごとにダメージ+25%。

「電光の一瞬、刃は既に抜かれている。」

コツ：雷刃抜刀型の核心スキル。雷刃抜刀より優先して使う。雷印が上限のときに撃ってダメージを最大化する。"
飞雷神,飛雷
